Symbol,Name,Sector,Score
LYB,LyondellBasell,Materials,0.32573242877310055
AXP,American Express Co,Financials,0.20650367365104172
VZ,Verizon Communications,Communication Services,0.29456268920473594
AVGO,Broadcom Inc.,Information Technology,0.2767798146589877
BA,Boeing Company,Industrials,0.0872067977867547
CAT,Caterpillar Inc.,Industrials,0.17185971138337483
JPM,JPMorgan Chase & Co.,Financials,0.15670978330579466
CVX,Chevron Corp.,Energy,0.16835565199991448
KO,Coca-Cola Company,Consumer Staples,0.2191151675722514
ABBV,AbbVie Inc.,Health Care,0.44777574226865335
DIS,The Walt Disney Company,Communication Services,0.1574245724434466
FLT,FleetCor Technologies Inc,Information Technology,0.25240542390422505
EXR,Extra Space Storage,Real Estate,0.45845704515344715
XOM,Exxon Mobil Corp.,Energy,0.21905021307584802
PSX,Phillips 66,Energy,0.43420318525375684
GE,General Electric,Industrials,0.14697247649171846
HPQ,HP Inc.,Information Technology,0.25243517147901023
HD,Home Depot,Consumer Discretionary,0.11101874474089281
IBM,International Business Machines,Information Technology,0.22546651388031835
CXO,Concho Resources,Energy,0.2210929111106082
JNJ,Johnson & Johnson,Health Care,0.18423274014647575
MCD,McDonald's Corp.,Consumer Discretionary,0.09237760223099924
MRK,Merck & Co.,Health Care,0.16320699482148315
MMM,3M Company,Industrials,0.15453248994762706
AWK,American Water Works Company Inc,Utilities,0.1460389334398895
BAC,Bank of America Corp,Financials,0.11048463788861244
BKR,Baker Hughes Co,Energy,0.2139259329879825
PFE,Pfizer Inc.,Health Care,0.20297003429260904
PG,Procter & Gamble,Consumer Staples,0.16795019361833113
T,AT&T Inc.,Communication Services,0.24920148313730095
NBL,Noble Energy,Energy,0.3053845176317433
TRV,The Travelers Companies Inc.,Financials,0.1324041009946251
RTX,Raytheon Technologies,Industrials,0.17564171363084785
ADI,Analog Devices Inc.,Information Technology,0.32821026530178843
WMT,Walmart,Consumer Staples,0.21319208200596226
CSCO,Cisco Systems,Information Technology,0.15952134336259954
INTC,Intel Corp.,Information Technology,0.12759547514793754
GM,General Motors,Consumer Discretionary,0.5389124366071784
MSFT,Microsoft Corp.,Information Technology,0.2193366144367928
DG,Dollar General,Consumer Discretionary,0.17779448507531248
CI,CIGNA Corp.,Health Care,0.13414185087493316
KMI,Kinder Morgan,Energy,0.3692414402326293
C,Citigroup Inc.,Financials,0.2531028988478201
AIG,American International Group,Financials,0.0990175834133169
HON,Honeywell Int'l Inc.,Industrials,0.1431388165107756
MO,Altria Group Inc,Consumer Staples,0.10710481917634618
HCA,HCA Healthcare,Health Care,0.18270240587570424
UAA,Under Armour (Class A),Consumer Discretionary,0.10919961148914277
IP,International Paper,Materials,0.2909551774585295
HPE,Hewlett Packard Enterprise,Information Technology,0.5082588149657837
ABT,Abbott Laboratories,Health Care,0.11921161703008977
AFL,AFLAC Inc,Financials,0.16692230011376505
APD,Air Products & Chemicals Inc,Materials,0.07190013928464106
RCL,Royal Caribbean Group,Consumer Discretionary,0.13192507301151202
AEP,American Electric Power,Utilities,0.2497868552690925
HES,Hess Corporation,Energy,0.18941937466055705
ADM,Archer-Daniels-Midland Co,Consumer Staples,0.19902765488560287
ADP,Automatic Data Processing,Information Technology,0.2535835109836522
VRSK,Verisk Analytics,Industrials,0.1834947872533742
AZO,AutoZone Inc,Consumer Discretionary,0.15150028324056328
AVY,Avery Dennison Corp,Materials,0.14075302541603313
MSCI,MSCI Inc,Financials,0.21657654724740336
BLL,Ball Corp,Materials,0.12784851460971353
CARR,Carrier Global,Industrials,0.4267455914695965
BK,The Bank of New York Mellon,Financials,0.2722219577499843
OTIS,Otis Worldwide,Industrials,0.6254273860769
BAX,Baxter International Inc.,Health Care,0.13275048640509465
BDX,Becton Dickinson,Health Care,0.20176119684825375
BBY,Best Buy Co. Inc.,Consumer Discretionary,0.21069524521702265
BSX,Boston Scientific,Health Care,0.08327018928270462
BMY,Bristol-Myers Squibb,Health Care,0.18041001071961238
FBHS,Fortune Brands Home & Security,Industrials,0.38114537245787333
COG,Cabot Oil & Gas,Energy,0.21696346976986172
CPB,Campbell Soup,Consumer Staples,0.22874550094155208
KSU,Kansas City Southern,Industrials,0.1576005782177404
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,0.44555585068772346
CCL,Carnival Corp.,Consumer Discretionary,0.23086415253520048
QRVO,Qorvo,Information Technology,0.43139817787251145
UDR,UDR Inc.,Real Estate,0.23128302430912606
CLX,The Clorox Company,Consumer Staples,0.17370535531638484
PAYC,Paycom,Information Technology,0.12514677234888338
CMS,CMS Energy,Utilities,0.15031743101113548
NWL,Newell Brands,Consumer Discretionary,0.508270963146009
CL,Colgate-Palmolive,Consumer Staples,0.17764907185726475
CMA,Comerica Inc.,Financials,0.18819854814013295
IPGP,IPG Photonics Corp.,Information Technology,0.20129921125321026
CAG,Conagra Brands,Consumer Staples,0.20847722320824855
ED,Consolidated Edison,Utilities,0.23523143700953075
SLG,SL Green Realty,Real Estate,0.1282275160159948
GLW,Corning Inc.,Information Technology,0.1497325538934779
CMI,Cummins Inc.,Industrials,0.2219684604571249
DHR,Danaher Corp.,Health Care,0.064207167400243
TGT,Target Corp.,Consumer Discretionary,0.2471366700829797
DE,Deere & Co.,Industrials,0.13091915501665902
D,Dominion Energy,Utilities,0.13573206224583834
DOV,Dover Corporation,Industrials,0.1738786755388305
LNT,Alliant Energy Corp,Utilities,0.6600632346706049
DUK,Duke Energy,Utilities,0.1955451262153036
REG,Regency Centers Corporation,Real Estate,0.6077735619288877
ETN,Eaton Corporation,Industrials,0.10396500791884412
ECL,Ecolab Inc.,Materials,0.13642356084108934
PKI,PerkinElmer,Health Care,0.18012896593364025
EMR,Emerson Electric Company,Industrials,0.1876501279821744
EOG,EOG Resources,Energy,0.20486121711659877
AON,Aon plc,Financials,0.14113559101440315
ETR,Entergy Corp.,Utilities,0.2587157140189036
EFX,Equifax Inc.,Industrials,0.1219790377744452
IQV,IQVIA Holdings Inc.,Health Care,0.35610271454004977
IT,Gartner Inc,Information Technology,0.18802204019951324
FDX,FedEx Corporation,Industrials,0.20345034810361523
FMC,FMC Corporation,Materials,0.22817782094876368
F,Ford Motor Company,Consumer Discretionary,0.22490558625130308
NEE,NextEra Energy,Utilities,0.10041675906105299
BEN,Franklin Resources,Financials,0.16371465970146154
FCX,Freeport-McMoRan Inc.,Materials,0.09332561380883794
GPS,Gap Inc.,Consumer Discretionary,0.12198634016428628
DXCM,DexCom,Health Care,0.16789964186355522
GD,General Dynamics,Industrials,0.12579707995250594
GIS,General Mills,Consumer Staples,0.18323539042255238
GPC,Genuine Parts,Consumer Discretionary,0.15220251010513747
ATO,Atmos Energy,Utilities,0.22643876623413994
GWW,Grainger (W.W.) Inc.,Industrials,0.11719303686214307
HAL,Halliburton Co.,Energy,0.0845486390519986
LHX,L3Harris Technologies,Industrials,0.18569623725454468
PEAK,Healthpeak Properties,Real Estate,0.1647272475885727
FTV,Fortive Corp,Industrials,0.5912999786633371
HSY,The Hershey Company,Consumer Staples,0.11985263436847121
SYF,Synchrony Financial,Financials,0.5475242899537026
HRL,Hormel Foods Corp.,Consumer Staples,0.16608181253452356
AJG,Arthur J. Gallagher & Co.,Financials,0.20974654313670765
MDLZ,Mondelez International,Consumer Staples,0.5207809690438628
CNP,CenterPoint Energy,Utilities,0.33339199771268185
HUM,Humana Inc.,Health Care,0.07729709245594951
WLTW,Willis Towers Watson,Financials,0.5149091587262943
ITW,Illinois Tool Works,Industrials,0.1315193727939412
CDW,CDW,Information Technology,0.12399330910370553
TT,Trane Technologies plc,Industrials,0.09564553288131315
IPG,Interpublic Group,Communication Services,0.14173929562287602
IFF,International Flavors & Fragrances,Materials,0.14266866949957052
J,Jacobs Engineering Group,Industrials,0.24415717953624405
HBI,Hanesbrands Inc,Consumer Discretionary,0.2006400626892109
K,Kellogg Co.,Consumer Staples,0.2401504391633177
BR,Broadridge Financial Solutions,Information Technology,0.17389113610699286
PRGO,Perrigo,Health Care,0.3403130694509662
KMB,Kimberly-Clark,Consumer Staples,0.18189859163179894
KIM,Kimco Realty,Real Estate,0.19755531865408366
ORCL,Oracle Corp.,Information Technology,0.584022085406109
KR,Kroger Co.,Consumer Staples,0.18370582846703512
