Symbol,Name,Sector,Score
MMM,3M Company,Industrials,0.0031842603902592723
AOS,A.O. Smith Corp,Industrials,0.0007837162155408596
ABT,Abbott Laboratories,Health Care,0.0010751965226903435
ABBV,AbbVie Inc.,Health Care,0.01639973119043613
ABMD,ABIOMED Inc,Health Care,0.0003314197706144698
ACN,Accenture plc,Information Technology,0.00207462850191657
ATVI,Activision Blizzard,Communication Services,0.001185345080604149
ADBE,Adobe Inc.,Information Technology,0.0029376234480039142
AAP,Advance Auto Parts,Consumer Discretionary,0.003098370758030273
AMD,Advanced Micro Devices Inc,Information Technology,0.0005223511089550632
AES,AES Corp,Utilities,0.004120447687950797
AFL,AFLAC Inc,Financials,0.001340728836397717
A,Agilent Technologies Inc,Health Care,0.0028876763395942672
APD,Air Products & Chemicals Inc,Materials,0.0008027452833508296
AKAM,Akamai Technologies Inc,Information Technology,0.002296709350605194
ALK,Alaska Air Group Inc,Industrials,0.007020782192625789
ALB,Albemarle Corp,Materials,0.0051107988364784114
ARE,Alexandria Real Estate Equities,Real Estate,0.0026215348748828498
ALXN,Alexion Pharmaceuticals,Health Care,0.0022609842286992776
ALGN,Align Technology,Health Care,0.0006024215254007306
ALLE,Allegion,Industrials,0.013510991429777632
LNT,Alliant Energy Corp,Utilities,0.002135861227977774
ALL,Allstate Corp,Financials,0.005562696876377973
GOOGL,Alphabet Inc. (Class A),Communication Services,0.0018751017436132332
GOOG,Alphabet Inc. (Class C),Communication Services,0.0020491769447015793
MO,Altria Group Inc,Consumer Staples,0.0004121072286920244
AMZN,Amazon.com Inc.,Consumer Discretionary,0.0005952512635181714
AMCR,Amcor plc,Materials,0.02076353900564705
AEE,Ameren Corp,Utilities,0.004329373674955793
AAL,American Airlines Group,Industrials,0.006031613775831781
AEP,American Electric Power,Utilities,0.0019095565578245838
AXP,American Express Co,Financials,0.0038590966096867458
AIG,American International Group,Financials,0.0004473372269963698
AMT,American Tower Corp.,Real Estate,0.0010529098094412292
AWK,American Water Works Company Inc,Utilities,0.001031185087530172
AMP,Ameriprise Financial,Financials,0.004147344980808405
ABC,AmerisourceBergen Corp,Health Care,0.0014183043858277495
AME,AMETEK Inc.,Industrials,0.0006010285219955224
AMGN,Amgen Inc.,Health Care,0.004766887738254431
APH,Amphenol Corp,Information Technology,0.000564528068731006
ADI,Analog Devices Inc.,Information Technology,0.0017742236435366698
ANSS,ANSYS,Information Technology,0.0026846749609735843
ANTM,Anthem,Health Care,0.0033267305958072746
AON,Aon plc,Financials,0.0011326579957636085
APA,Apache Corporation,Energy,0.003685732564332549
AIV,Apartment Investment & Management,Real Estate,0.0028817130408316897
AAPL,Apple Inc.,Information Technology,0.0023881048693934984
AMAT,Applied Materials Inc.,Information Technology,0.00421557719203498
APTV,Aptiv PLC,Consumer Discretionary,0.014268282921372579
ADM,Archer-Daniels-Midland Co,Consumer Staples,0.0010360905575215653
ANET,Arista Networks,Information Technology,0.012075265821833884
AJG,Arthur J. Gallagher & Co.,Financials,0.0010595678286111786
AIZ,Assurant,Financials,0.0032970970492467353
T,AT&T Inc.,Communication Services,0.002704202363411089
