Stock,1,2,3,4,5,6,7,8,9
LYB,363,67,252,217,123,211,349,634,383
AXP,1201,1211,1246,1776,1569,958,1121,925,624
VZ,1158,2697,2170,2021,2121,84,98,144,137
AVGO,736,1003,845,64,57,62,72,52,18
BA,2668,1423,1627,1257,1192,940,784,406,334
CAT,2357,1410,577,835,1139,1369,1444,1005,495
JPM,3092,582,1846,1727,1121,702,459,562,540
CVX,4007,884,823,1282,397,413,800,959,1066
KO,1874,3772,1681,1797,392,398,455,102,160
ABBV,73,0,76,211,401,528,209,231,308
DIS,4100,2153,1713,571,418,279,192,330,875
FLT,1243,702,331,82,56,22,40,63,16
EXR,1856,316,292,373,376,238,439,487,6253
XOM,2369,386,1708,1465,572,970,998,1593,570
PSX,297,4513,80,87,174,218,550,508,294
GE,2607,3016,2254,784,565,428,429,267,281
HPQ,5074,2542,582,103,117,278,405,606,923
HD,2217,1779,1878,1202,498,343,499,442,651
IBM,5191,2034,1200,199,215,108,305,779,600
CXO,1634,301,162,156,183,115,130,352,400
JNJ,3020,1546,591,986,1582,1977,241,275,413
MCD,3094,2298,1170,520,1049,571,551,540,838
MRK,1572,2130,1610,1367,1565,1043,564,627,153
MMM,3038,1736,421,914,568,912,1123,1095,824
AWK,641,675,393,402,315,71,312,340,96
BAC,3590,1864,1857,1167,742,489,253,210,310
BKR,1148,2294,1982,1361,668,616,380,247,27
PFE,2459,3079,2733,1009,514,330,174,165,168
PG,1727,1183,1456,1438,1357,1445,694,971,360
T,1335,2982,2954,1638,794,229,113,199,386
NBL,71,27,2,3,5,13,9,25,42
TRV,3369,1051,1684,1898,1008,360,404,518,339
RTX,1864,2131,2363,1711,619,979,600,278,86
ADI,410,0,134,394,477,207,132,254,209
WMT,3090,585,766,1576,2305,606,1088,327,288
CSCO,2633,2624,744,697,441,316,213,198,122
INTC,2088,2902,1675,863,818,435,446,364,292
GM,36,659,1704,175,0,0,0,0,0
MSFT,1418,3542,1718,878,529,309,232,187,201
DG,554,317,235,265,410,263,452,127,215
CI,2435,1375,1359,1409,1330,1038,699,273,113
KMI,837,649,868,158,0,0,0,0,1
C,982,1637,1274,2413,1274,665,422,63,120
AIG,3072,1269,963,673,1263,661,307,529,648
HON,3137,820,1775,930,963,304,610,1003,744
MO,2679,1179,1308,1355,1400,1107,662,447,494
HCA,649,262,338,145,91,172,450,266,121
UAA,963,738,657,499,164,169,98,147,162
IP,1674,1893,3485,2209,904,37,35,189,205
HPE,1048,0,0,0,0,0,46,52,146
ABT,2464,3235,1140,858,589,855,604,594,291
AFL,3206,3154,1640,673,463,211,182,352,749
APD,2760,1531,1302,1416,1130,573,735,716,467
RCL,2345,1333,1135,1170,264,177,283,227,221
AEP,1280,2117,3295,2161,566,500,358,215,138
HES,3934,1027,223,835,1343,1027,654,725,862
ADM,3634,2173,1648,2018,305,70,159,277,346
ADP,957,26,520,465,180,263,160,442,103
VRSK,680,240,354,225,166,443,358,320,79
AZO,1755,1987,923,260,362,485,862,634,428
AVY,2862,1216,1067,1169,1791,1358,418,346,403
MSCI,621,607,1180,337,75,196,149,120,74
