Stock,1,2,3,4,5,6,7,8,9
MMM,2830,1512,1144,1828,2444,1366,429,385,845
AOS,1848,1439,1042,927,770,756,482,263,124
ABT,3852,1567,1394,703,469,413,510,741,556
ABBV,21,62,271,399,395,137,234,297,116
ABMD,2508,1123,854,906,793,666,546,508,439
ACN,2008,1004,483,322,180,294,228,135,158
ATVI,2322,654,705,565,535,469,450,511,553
ADBE,1779,2026,1997,1011,451,373,424,246,278
AAP,1996,506,921,332,175,300,195,194,104
AMD,3544,1420,1058,1089,670,600,576,714,534
AES,3128,549,1048,480,204,273,310,449,913
AFL,3796,1331,958,738,569,566,596,569,446
A,1337,1613,853,336,145,413,260,179,95
APD,3521,2043,1105,610,624,934,167,533,668
AKAM,1077,615,889,681,725,455,443,201,159
ALK,1291,721,1725,1735,1519,1651,743,516,304
ALB,1226,369,892,815,1278,802,637,304,358
ARE,1934,700,345,481,1103,660,321,164,149
ALXN,2641,1099,578,478,463,240,97,230,346
ALGN,1531,1064,508,224,469,408,313,214,199
ALLE,229,0,4,171,329,311,263,270,133
LNT,2547,1613,1057,1710,1125,1487,1249,840,363
ALL,984,2263,951,640,416,624,283,302,401
GOOGL,1154,1126,438,155,434,113,240,176,203
GOOG,1145,1143,425,155,446,124,275,119,207
MO,2882,1377,1245,1374,759,467,618,510,554
AMZN,1667,810,1028,632,368,349,480,315,216
AMCR,360,0,0,0,107,100,550,410,563
AEE,1991,1971,591,307,330,182,284,49,0
AAL,609,505,930,847,304,125,141,175,124
AEP,5079,1913,666,1131,788,709,708,734,1055
AXP,1988,3417,2136,1578,641,604,682,709,416
AIG,3817,1714,1351,1131,1159,454,688,744,967
AMT,1493,1135,1071,443,190,375,225,416,319
AWK,1045,400,441,350,104,189,321,212,52
AMP,1417,221,729,677,95,73,112,198,246
ABC,2165,679,772,415,481,319,478,772,319
AME,3255,1303,999,953,757,577,680,314,269
AMGN,2716,518,781,2215,1462,668,321,253,448
APH,2078,1054,628,963,701,491,361,544,439
ADI,2683,2913,1066,652,731,443,515,720,482
ANSS,1207,1708,552,573,420,361,369,491,412
ANTM,850,1055,600,490,633,733,241,83,59
AON,2565,2187,1658,1342,344,342,776,561,377
APA,1424,2183,1376,1316,1233,613,805,1016,451
AIV,2778,1205,1235,518,433,88,110,143,67
AAPL,2314,2786,1897,939,576,366,422,339,377
AMAT,4886,1481,1265,718,461,299,170,350,575
APTV,63,256,94,204,508,348,256,320,163
ADM,2380,2308,1369,913,539,682,582,895,537
ANET,247,617,36,0,25,283,180,136,49
AJG,3511,1265,918,805,720,610,410,579,309
AIZ,649,796,738,489,510,122,234,273,363
T,3819,2249,1122,240,532,264,363,353,331
ATO,3499,1822,727,686,302,688,408,487,629
ADSK,1671,840,1543,1176,1381,643,518,643,453
